epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,8549.12,1.42383,1.52244,1.5621,0.86616,0.76237,0.84132,0.60186,1.47249,1.71424,1.67903,0.0148677,0.00495589,0.0148677,0.00495589,0.0148677,0.00495589,0.0148677,0.00495589
103,8632.27,1.44087,1.53813,1.57108,0.8664,0.76249,0.84133,0.60237,1.47126,1.71115,1.6781,0.0147179,0.00490595,0.0147179,0.00490595,0.0147179,0.00490595,0.0147179,0.00490595
104,8715.52,1.43955,1.54783,1.57148,0.8687,0.76062,0.84192,0.60278,1.47058,1.70947,1.67789,0.014568,0.00485601,0.014568,0.00485601,0.014568,0.00485601,0.014568,0.00485601
105,8799.09,1.42331,1.51788,1.56378,0.86854,0.76096,0.84213,0.60348,1.46965,1.70731,1.67726,0.0144182,0.00480607,0.0144182,0.00480607,0.0144182,0.00480607,0.0144182,0.00480607
106,8882.46,1.41698,1.51665,1.56486,0.86847,0.76108,0.84194,0.60383,1.46881,1.7061,1.67712,0.0142684,0.00475613,0.0142684,0.00475613,0.0142684,0.00475613,0.0142684,0.00475613
107,8965.67,1.42006,1.5181,1.56205,0.86828,0.76168,0.84226,0.60415,1.46794,1.70451,1.67658,0.0141186,0.00470619,0.0141186,0.00470619,0.0141186,0.00470619,0.0141186,0.00470619
108,9048.87,1.42028,1.51641,1.56316,0.86956,0.76277,0.84281,0.60508,1.46765,1.70217,1.67672,0.0139687,0.00465624,0.0139687,0.00465624,0.0139687,0.00465624,0.0139687,0.00465624
109,9132.19,1.40691,1.49044,1.55211,0.86977,0.76335,0.84268,0.60513,1.46703,1.7001,1.67594,0.0138189,0.0046063,0.0138189,0.0046063,0.0138189,0.0046063,0.0138189,0.0046063
110,9215.38,1.41407,1.50029,1.55554,0.87079,0.76246,0.84334,0.60552,1.46606,1.69899,1.67494,0.0136691,0.00455636,0.0136691,0.00455636,0.0136691,0.00455636,0.0136691,0.00455636
111,9298.51,1.40354,1.48969,1.55338,0.87206,0.76172,0.84365,0.60561,1.46582,1.69758,1.67465,0.0135193,0.00450642,0.0135193,0.00450642,0.0135193,0.00450642,0.0135193,0.00450642
112,9381.83,1.41551,1.50951,1.55676,0.87158,0.76166,0.84399,0.60603,1.46575,1.69611,1.67427,0.0133694,0.00445648,0.0133694,0.00445648,0.0133694,0.00445648,0.0133694,0.00445648
113,9464.74,1.4219,1.51753,1.55978,0.87041,0.76362,0.84438,0.60618,1.46593,1.69452,1.67432,0.0132196,0.00440654,0.0132196,0.00440654,0.0132196,0.00440654,0.0132196,0.00440654
114,9547.96,1.40726,1.48866,1.5533,0.87025,0.76334,0.84452,0.60639,1.46545,1.6926,1.67402,0.0130698,0.0043566,0.0130698,0.0043566,0.0130698,0.0043566,0.0130698,0.0043566
115,9631.28,1.41136,1.4978,1.55616,0.86927,0.7641,0.84453,0.6069,1.46527,1.69108,1.67377,0.01292,0.00430665,0.01292,0.00430665,0.01292,0.00430665,0.01292,0.00430665
116,9714.62,1.39406,1.47556,1.54962,0.87089,0.76621,0.84506,0.60722,1.46457,1.68991,1.67343,0.0127701,0.00425671,0.0127701,0.00425671,0.0127701,0.00425671,0.0127701,0.00425671
117,9797.86,1.39674,1.47644,1.54758,0.87109,0.76559,0.84503,0.60711,1.46395,1.68857,1.67285,0.0126203,0.00420677,0.0126203,0.00420677,0.0126203,0.00420677,0.0126203,0.00420677
118,9880.86,1.40463,1.49043,1.5496,0.86865,0.76623,0.84516,0.60727,1.46359,1.68728,1.67267,0.0124705,0.00415683,0.0124705,0.00415683,0.0124705,0.00415683,0.0124705,0.00415683
